Name,Website,Country,Publisher,Language,Year_Start,panels,Level
Educational technology and society,https://www.j-ets.net/,CANADA,International Forum of Educational Technology & Society,English,2003.0,18,2
Educational theory,https://onlinelibrary.wiley.com/journal/17415446,UNITED STATES,John Wiley & Sons,English,1951.0,18,2
Eighteenth-century fiction,http://www.utpjournals.com/Eighteenth-Century-Fiction.html,CANADA,Published for McMaster University by University of Toronto Press,English,1988.0,22,2
Eighteenth-century music,http://journals.cambridge.org/action/displayJournal?jid=ECM,UNITED KINGDOM,Cambridge University Press,English,2004.0,22,2
Eighteenth-century studies,http://www.press.jhu.edu/journals/eighteenth-century_studies/,UNITED STATES,Johns Hopkins University Press,English,1967.0,23,2
Electoral studies,http://www.journals.elsevier.com/electoral-studies/#description,UNITED KINGDOM,Elsevier,English,1982.0,19,2
Electric power systems research,http://www.elsevier.com/locate/epsr,NETHERLANDS,Elsevier,English,1977.0,9,2
Electrochimica acta,http://www.journals.elsevier.com/electrochimica-acta/#description,UNITED KINGDOM,Elsevier,Multiple languages,1959.0,4,2
Electronic journal of combinatorics,http://www.combinatorics.org,UNITED STATES,Electronic Journal of Combinatorics,English,1994.0,1,2
Electronic journal of probability,http://www.math.washington.edu/~ejpecp/,UNITED STATES,Institute of Mathematical Statistics,English,1996.0,1,2
Electronic journal of statistics,http://imstat.org/ejs/,UNITED STATES,Institute of Mathematical Statistics,English,2007.0,1,2
Electronic transactions on numerical analysis,http://emis.maths.adelaide.edu.au/EMIS/journals/ETNA/index.html,UNITED STATES,Kent State University,English,1993.0,1,2
Elements,http://www.elementsmagazine.org,INTERNATIONAL,Clay Minerals Society,English,2005.0,5,2
Elh,https://www.press.jhu.edu/journals/elh,UNITED STATES,Johns Hopkins University Press,English,1934.0,22,3
Elore,http://www.elore.fi,FINLAND,Suomen kansantietouden tutkijain seura,Finnish,1998.0,23,2
Embo journal,http://www.nature.com/emboj/index.html,GERMANY,John Wiley & Sons,English,1982.0,7,3
Embo molecular medicine,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1757-4684,UNITED KINGDOM,Wiley-Blackwell,English,2009.0,11,3
Embo reports,http://embor.embopress.org/,GERMANY,John Wiley & Sons,English,2000.0,7,3
Emerging infectious diseases,http://www.cdc.gov/ncidod/EID/index.htm,UNITED STATES,Centers for Disease Control and Prevention,English,1995.0,11,2
Emotion,http://www.apa.org/pubs/journals/emo/index.aspx,UNITED STATES,American Psychological Association,English,2001.0,18,2
Empirical software engineering,http://www.springer.com/computer/swe/journal/10664,NETHERLANDS,Springer Science+Business Media,English,1996.0,2,3
Empirical studies in theology,http://www.brill.nl/publications/empirical-studies-theology,NETHERLANDS,Brill,English,1998.0,20,2
Empirical studies of the arts,https://journals.sagepub.com/home/art,UNITED STATES,SAGE,English,1983.0,22,2
Endocrine reviews,http://edrv.endojournals.org/,UNITED STATES,Endocrine Society,English,1980.0,12,2
Endocrine-related cancer,http://erc.endocrinology-journals.org,UNITED KINGDOM,BioScientifica,English,1994.0,12,2
Endocrinology,http://endo.endojournals.org/,UNITED STATES,Oxford University Press,English,1917.0,12,2
Endoscopy,http://www.thieme.de/endoscopy/index.html,GERMANY,Thieme,English,1969.0,12,2
Energy,http://www.journals.elsevier.com/energy/,UNITED KINGDOM,Elsevier,English,1976.0,10,3
Energy and environmental science,http://pubs.rsc.org/en/journals/journalissues/ee#!recentarticles&amp;all,UNITED KINGDOM,Royal Society of Chemistry,English,2008.0,10,3
Energy and buildings,http://www.elsevier.com/locate/enbuild,NETHERLANDS,Elsevier,English,1977.0,8,3
Energy conversion and management,http://www.journals.elsevier.com/energy-conversion-and-management/,UNITED KINGDOM,Pergamon Press,English,1980.0,10,2
Engineering applications of artificial intelligence,http://www.journals.elsevier.com/engineering-applications-of-artificial-intelligence/#description,UNITED KINGDOM,Elsevier,English,1988.0,9,2
Engineering fracture mechanics,http://www.journals.elsevier.com/engineering-fracture-mechanics/#description,UNITED STATES,Pergamon Press,English,1968.0,8,2
Engineering geology,http://www.elsevier.com/locate/enggeo,NETHERLANDS,Elsevier,Multiple languages,1965.0,5,2
Engineering structures,http://www.journals.elsevier.com/engineering-structures/#description,UNITED KINGDOM,Elsevier,English,1978.0,8,3
English for specific purposes,http://www.journals.elsevier.com/english-for-specific-purposes/#description,UNITED STATES,Pergamon Press,English,1986.0,21,2
English historical review,http://ehr.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1886.0,23,3
English language and linguistics,http://journals.cambridge.org/action/displayJournal?jid=ELL,UNITED KINGDOM,Cambridge University Press,English,1997.0,21,3
English literary renaissance,http://www.wiley.com/WileyCDA/WileyTitle/productCd-ENLR.html,UNITED KINGDOM,Wiley-Blackwell,English,1971.0,22,2
English literature in transition 1880-1920,http://www.eltpress.org/,UNITED STATES,"Arizona State University, Dept. of English",English,1963.0,22,2
English studies,http://www.tandfonline.com/loi/nest20,NETHERLANDS,Taylor & Francis,English,1919.0,21,2
English world-wide,http://benjamins.com/catalog/eww,GERMANY,Groos,English,1980.0,21,2
Enterprise and society,http://journals.cambridge.org/action/displayJournal?jid=ESO,UNITED KINGDOM,Oxford University Press,English,2000.0,17,2
